part_name,part_id,mpn_id,part_price,install_difficulty,install_time,symptoms,product_types,brand,availability,product_url
Refrigerator Screw Kit Of Four,PS12365992,5304515677,,Really Easy ,Less than 15 mins ,N/A,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS12365992-Frigidaire-5304515677-Screw-Kit-Of-Four.htm?SourceCode=18
Refrigerator Handle Stopper,PS8752913,MJB63190001,,Very Easy ,Less than 15 mins ,N/A,"Refrigerator, Freezer.",LG,In Stock,https://www.partselect.com/PS8752913-LG-MJB63190001-Refrigerator-Handle-Stopper.htm?SourceCode=18
Refrigerator Clip,PS12731483,5304522258,,Very Easy ,Less than 15 mins ,N/A,"Refrigerator, Freezer.",Frigidaire,In Stock,https://www.partselect.com/PS12731483-Frigidaire-5304522258-Refrigerator-Clip.htm?SourceCode=18
Refrigerator Screw,PS11757021,WPW10661886,,Really Easy ,15 - 30 mins ,Door won’t open or close,"Refrigerator, Dryer, Freezer.",Whirlpool,In Stock,https://www.partselect.com/PS11757021-Whirlpool-WPW10661886-Refrigerator-Screw.htm?SourceCode=18
Refrigerator Upper Or Lower Mullion Hinge Pin,PS2358752,241779401,,Very Easy ,15 - 30 mins ,Door won’t open or close | Door Sweating,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS2358752-Frigidaire-241779401-Upper-Or-Lower-Mullion-Hinge-Pin.htm?SourceCode=18
Refrigerator Lower Door Closing Cam,PS11739042,WP2182179,,Really Easy ,15 - 30 mins ,Door won’t open or close | Clicking sound | Fridge too warm | Noisy,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11739042-Whirlpool-WP2182179-Refrigerator-Lower-Door-Closing-Cam.htm?SourceCode=18
Refrigerator Door Cam,PS11752991,WPW10329686,,Really Easy ,15 - 30 mins ,Door won’t open or close | Clicking sound | Fridge too warm | Noisy,"Refrigerator, Freezer.",Whirlpool,In Stock,https://www.partselect.com/PS11752991-Whirlpool-WPW10329686-Refrigerator-Door-Cam.htm?SourceCode=18
Refrigerator Door Cam,PS11755285,WPW10470155,,A Bit Difficult ,1- 2 hours ,Door won’t open or close | Clicking sound,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11755285-Whirlpool-WPW10470155-Refrigerator-Door-Cam.htm?SourceCode=18
Refrigerator Mullion Hinge,PS12364145,241779802,,N/A,N/A,Door won’t open or close,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS12364145-Frigidaire-241779802-Mullion-Hinge.htm?SourceCode=18
Refrigerator Hinge Bearing,PS976452,240328203,,Really Easy ,15 - 30 mins ,Clicking sound | Door won’t open or close | Noisy | Door Sweating,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS976452-Frigidaire-240328203-Hinge-Bearing.htm?SourceCode=18
Refrigerator Freezer Door Stopper,PS3523083,4620JJ2009A,,Very Easy ,Less than 15 mins ,Door won’t open or close,"Refrigerator, Freezer.",LG,In Stock,https://www.partselect.com/PS3523083-LG-4620JJ2009A-Freezer-Door-Stopper.htm?SourceCode=18
Refrigerator Hinge Bearing,PS11770608,5304507146,,Really Easy ,15 - 30 mins ,Door won’t open or close,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS11770608-Frigidaire-5304507146-Hinge-Bearing.htm?SourceCode=18
Refrigerator Stopper Door,PS7796195,MJB62830601,,Very Easy ,Less than 15 mins ,Door won’t open or close,Refrigerator.,LG,In Stock,https://www.partselect.com/PS7796195-LG-MJB62830601-STOPPER-DOOR.htm?SourceCode=18
Refrigerator Lid Bumper,PS284979,WR02X10540,,Easy ,30 - 60 mins ,Noisy | Fridge too warm,"Refrigerator, Freezer, Range, Dryer.",GE,In Stock,https://www.partselect.com/PS284979-GE-WR02X10540-Refrigerator-Lid-Bumper.htm?SourceCode=18
Refrigerator Door Switch,PS12728638,W11384469,,Really Easy ,Less than 15 mins ,Light not working,"Refrigerator, Freezer, Ice Maker.",Whirlpool,In Stock,https://www.partselect.com/PS12728638-Whirlpool-W11384469-Refrigerator-Door-Switch.htm?SourceCode=18
Refrigerator Door Switch,PS12731166,W11396033,,Really Easy ,Less than 15 mins ,Light not working | Ice maker not making ice | Not dispensing water | Ice maker won’t dispense ice,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS12731166-Whirlpool-W11396033-Door-Switch.htm?SourceCode=18
Refrigerator Light Switch,PS16554876,WR23X37285,,Really Easy ,Less than 15 mins ,Light not working | Fridge too warm,"Refrigerator, Freezer, Range.",GE,In Stock,https://www.partselect.com/PS16554876-GE-WR23X37285-LIGHT-SWITCH.htm?SourceCode=18
Refrigerator Door Light Switch,PS12727313,WR23X31507,,Really Easy ,Less than 15 mins ,Light not working | Fridge too warm,Refrigerator.,GE,In Stock,https://www.partselect.com/PS12727313-GE-WR23X31507-REFRIGERATOR-DOOR-LIGHT-SWITCH.htm?SourceCode=18
Refrigerator Dispenser Door Solenoid Assembly,PS1483583,WR62X10055,,Easy ,30 - 60 mins ,Ice maker won’t dispense ice | Not dispensing water | Door won’t open or close | Door Sweating,Refrigerator.,GE,In Stock,https://www.partselect.com/PS1483583-GE-WR62X10055-Refrigerator-Dispenser-Door-Solenoid-Assembly.htm?SourceCode=18
Refrigerator Push Button Switch,PS3529268,6600JB1010A,,Really Easy ,Less than 15 mins ,Light not working,"Refrigerator, Freezer.",LG,In Stock,https://www.partselect.com/PS3529268-LG-6600JB1010A-Refrigerator-Push-Button-Switch.htm?SourceCode=18
Refrigerator Dryer Door Switch Kit,PS1964648,W10169313,,Really Easy ,15 - 30 mins ,Won’t Start | Noisy,"Dryer, Washer, Washer Dryer Combo, Refrigerator.",Whirlpool,In Stock,https://www.partselect.com/PS1964648-Whirlpool-W10169313-Dryer-Door-Switch-Kit.htm?SourceCode=18
Refrigerator Micro Switch,PS3529276,6600JB3001C,,Very Easy ,Less than 15 mins ,Ice maker won’t dispense ice,"Refrigerator, Freezer.",LG,In Stock,https://www.partselect.com/PS3529276-LG-6600JB3001C-Micro-Switch.htm?SourceCode=18
Refrigerator Micro Switch,PS11738948,WP2162361,,Really Easy ,15 - 30 mins ,Not dispensing water | Ice maker won’t dispense ice | Leaking,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11738948-Whirlpool-WP2162361-Refrigerator-Micro-Switch.htm?SourceCode=18
Refrigerator Door Light Switch,PS12295821,WR23X29161,,Really Easy ,15 - 30 mins ,Light not working | Not dispensing water,Refrigerator.,GE,In Stock,https://www.partselect.com/PS12295821-GE-WR23X29161-Refrigerator-Door-Light-Switch.htm?SourceCode=18
Refrigerator Water Inlet Valve,PS7784018,242252702,,Easy ,30 - 60 mins ,Leaking | Ice maker not making ice | Not dispensing water | Ice maker won’t dispense ice,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS7784018-Frigidaire-242252702-Refrigerator-Water-Inlet-Valve.htm?SourceCode=18
Refrigerator Water Valve With Guard,PS16226572,WR57X33326,,Really Easy ,15 - 30 mins ,Leaking | Not dispensing water | Ice maker not making ice | Ice maker won’t dispense ice,Refrigerator.,GE,In Stock,https://www.partselect.com/PS16226572-GE-WR57X33326-WATER-VALVE-WITH-GUARD.htm?SourceCode=18
Refrigerator Water Inlet Valve,PS3497634,W10408179,,Easy ,15 - 30 mins ,Leaking | Ice maker not making ice | Not dispensing water | Ice maker won’t dispense ice,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS3497634-Whirlpool-W10408179-Refrigerator-Water-Inlet-Valve.htm?SourceCode=18
Refrigerator Water Inlet Valve,PS11749668,WPW10179146,,Really Easy ,30 - 60 mins ,Leaking | Ice maker not making ice | Not dispensing water | Ice maker won’t dispense ice,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11749668-Whirlpool-WPW10179146-Water-Inlet-Valve.htm?SourceCode=18
Refrigerator Water Inlet Valve,PS7784017,242252603,,Really Easy ,15 - 30 mins ,Ice maker not making ice | Leaking | Ice maker won’t dispense ice | Not dispensing water,"Refrigerator, Freezer.",Frigidaire,In Stock,https://www.partselect.com/PS7784017-Frigidaire-242252603-Water-Inlet-Valve.htm?SourceCode=18
Refrigerator Water Inlet Valve,PS12727426,WR57X30890,,Really Easy ,30 - 60 mins ,Not dispensing water | Ice maker not making ice,Refrigerator.,GE,In Stock,https://www.partselect.com/PS12727426-GE-WR57X30890-Water-Inlet-Valve.htm?SourceCode=18
Refrigerator Water Inlet Valve (4 Coil),PS7321353,242253002,,Really Easy ,30 - 60 mins ,Not dispensing water | Ice maker not making ice | Leaking,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS7321353-Frigidaire-242253002-Water-Inlet-Valve-4-Coil.htm?SourceCode=18
